Variable Name,Schedule,Line,Column,Column Description,Variable / Line Description,Rev_Exp_Staff_Other,Category,Include,
MUNID,,,,,Municipal ID,,,,1000
MARSYEAR,,,,,FIR Reporting Year,,,,2009
FSB_OFFICECODE,,,,,Region Code,,,,12
SGC_CODE,,,,,Standard Geographic Code,,,,1000
LT1NO,,,,,Geographic Upper Tier,,,,71
LT1TYPE,,,,,Municipal Type,,,,0
LTREVNO,,,,,Revenue Code,,,,100
SGC_CD,,,,,Census Division,,,,1
LT1NAME,,,,,Municipality Name,,,,"Stormont, Dundas and Glengarry Uco"
LT1ACTUAL,,,,,FIR Load Status,,,,a
FIR_CLEAN_FLAG,,,,,FIR Clean Status,,,,C
MUNTIER,,,,,Tier,,,,UT
LT1MARS_LASTUPD,,,,,Date of Last Update,,,,11-03-18 13:12
region,,,,,Region,,,,Eastern
year,,,,,FIR Reporting Year,,,,2009
municipality,,,,,Municipality Name,,,,"Stormont, Dundas and Glengarry Uco"
tier,,,,,"Tier (Lower Tier, Upper Tier, Single Tier)",,,,UT
slc.02.30.01,2,30,1,Municipal Data,Website address of Municipality,,,,0
slc.02.30.02,2,30,2,Data Source,Website address of Municipality,,,,www.sdg.on.ca
slc.02.40.01,2,40,1,Municipal Data,Households,O,Demographic,0,27448
slc.02.40.02,2,40,2,Data Source,Households,,,,
slc.02.41.01,2,41,1,Municipal Data,Population,O,Demographic,0,
slc.02.41.02,2,41,2,Data Source,Population,,,,
slc.02.42.01,2,42,1,Municipal Data,Youth Population,O,Demographic,0,
slc.02.42.02,2,42,2,Data Source,Youth Population,,,,
slc.02.70.01,2,70,1,Municipal Data,Outstanding In-Year Critical Errors,,,,
slc.02.70.02,2,70,2,Data Source,Outstanding In-Year Critical Errors,,,,
slc.02.75.01,2,75,1,Municipal Data,Schedule 54:Cashflow - Direct or Indirect Method chosen,,,,
slc.02.75.02,2,75,2,Data Source,Schedule 54:Cashflow - Direct or Indirect Method chosen,,,,
slc.02.77.01,2,77,1,Municipal Data,Method used to allocate Program Support to other functions in Schedule 40,,,,
slc.02.77.02,2,77,2,Data Source,Method used to allocate Program Support to other functions in Schedule 40,,,,
slc.02.78.01,2,78,1,Municipal Data,"If ""Other Method"" is selected in line 0077, please describe method of allocating Program Support",,,,
slc.02.78.02,2,78,2,Data Source,"If ""Other Method"" is selected in line 0077, please describe method of allocating Program Support",,,,
slc.02.94.01,2,94,1,Municipal Data,Date,,,,
slc.02.94.02,2,94,2,Data Source,Date,,,,
slc.10.299.01,10,299,1,Own Purpose Revenue,Taxation - Own purposes (SLC 26 9199 04 - 72 2899 07) For UT (SLC 28 0299 12 - 28 0299 08),R,Property Taxation,0,
slc.10.499.01,10,499,1,Own Purpose Revenue,Payments-in-lieu of taxation (SLC 26 9599 08) For UT (SLC 28 0299 08),R,Property Taxation,0,
slc.10.510.01,10,510,1,Own Purpose Revenue,Estimated tax revenue,,,,
slc.10.620.01,10,620,1,Own Purpose Revenue,Ontario Municipal Partnership Fund (OMPF),R,OMPF,1,
slc.10.695.01,10,695,1,Own Purpose Revenue,Please specify,R,OMPF,1,
slc.10.696.01,10,696,1,Own Purpose Revenue,Please specify,R,OMPF,1,
slc.10.697.01,10,697,1,Own Purpose Revenue,Please specify,R,OMPF,1,
slc.10.698.01,10,698,1,Own Purpose Revenue,Please specify,R,OMPF,1,
slc.10.699.01,10,699,1,Own Purpose Revenue,Subtotal,,,,
slc.10.810.01,10,810,1,Own Purpose Revenue,Ontario conditional grants (SLC 12 9910 01),,,0,
slc.10.815.01,10,815,1,Own Purpose Revenue,Ontario grants for tangible capital assets (SLC 12 9910 05),,,0,
slc.10.820.01,10,820,1,Own Purpose Revenue,Canada conditional grants (SLC 12 9910 02),,,0,
slc.10.825.01,10,825,1,Own Purpose Revenue,Canada grants for tangible capital assets (SLC 12 9910 06),,,0,
slc.10.830.01,10,830,1,Own Purpose Revenue,Deferred revenue earned (Provincial Gas Tax)(SLC 60 1042 01 + SLC 60 1045 01),,,,
slc.10.831.01,10,831,1,Own Purpose Revenue,Deferred revenue earned (Canada Gas Tax)(SLC 60 1047 01),,,,
slc.10.899.01,10,899,1,Own Purpose Revenue,Subtotal,,,,
slc.10.1098.01,10,1098,1,Own Purpose Revenue,Revenue from other municipalities for tangible capital assets (SLC 12 9910 07),,,,
slc.10.1099.01,10,1099,1,Own Purpose Revenue,Revenue from other municipalities (SLC 12 9910 03),,,,
slc.10.1299.01,10,1299,1,Own Purpose Revenue,Total user fees and service charges (SLC 12 9910 04),,,,
slc.10.1410.01,10,1410,1,Own Purpose Revenue,Trailer revenue and permits,R,,1,
slc.10.1420.01,10,1420,1,Own Purpose Revenue,Licences and permits,R,,1,
slc.10.1430.01,10,1430,1,Own Purpose Revenue,"Rents, concessions and franchises",R,,1,
slc.10.1431.01,10,1431,1,Own Purpose Revenue,Royalties,R,,1,
slc.10.1432.01,10,1432,1,Own Purpose Revenue,Green Energy,R,,1,
slc.10.1498.01,10,1498,1,Own Purpose Revenue,Please specify,R,,1,
slc.10.1499.01,10,1499,1,Own Purpose Revenue,Subtotal,,,,
slc.10.1605.01,10,1605,1,Own Purpose Revenue,Provincial Offences Act (POA) Municipality which administers POA only,R,,1,
slc.10.1610.01,10,1610,1,Own Purpose Revenue,Other Fines,R,,1,
slc.10.1620.01,10,1620,1,Own Purpose Revenue,Penalties and interest on taxes,R,,1,
slc.10.1698.01,10,1698,1,Own Purpose Revenue,Please specify,R,,1,
slc.10.1699.01,10,1699,1,Own Purpose Revenue,Subtotal,,,,
slc.10.1805.01,10,1805,1,Own Purpose Revenue,Investment income,R,,1,
slc.10.1806.01,10,1806,1,Own Purpose Revenue,Interest earned on reserves and reserve funds,R,,1,
slc.10.1811.01,10,1811,1,Own Purpose Revenue,Gain/loss on sale of land and capital assets,R,,1,
slc.10.1812.01,10,1812,1,Own Purpose Revenue,Deferred revenue earned (Development Charges)(SLC 60 1025 01 + SLC 60 1026 01),R,,1,
slc.10.1813.01,10,1813,1,Own Purpose Revenue,Deferred revenue earned (Recreational land (The Planning Act))(SLC 60 1032 01 + SLC 60 1035 01),R,,1,
slc.10.1814.01,10,1814,1,Own Purpose Revenue,Other deferred revenue earned,R,,1,
slc.10.1830.01,10,1830,1,Own Purpose Revenue,Donations,R,,1,
slc.10.1831.01,10,1831,1,Own Purpose Revenue,Donated tangible capital assets (SLC 53 0610 01),R,,1,
slc.10.1840.01,10,1840,1,Own Purpose Revenue,"Sale of publications, equipment, etc.",R,,1,
slc.10.1850.01,10,1850,1,Own Purpose Revenue,Contributions from non-consolidated entities,R,,1,
slc.10.1865.01,10,1865,1,Own Purpose Revenue,"Other Revenues from Government Business Enterprise (ie. Dividends, etc.)",R,,1,
slc.10.1870.01,10,1870,1,Own Purpose Revenue,Gaming and Casino Revenues,R,,1,
slc.10.1880.01,10,1880,1,Own Purpose Revenue,"Municipal Land Transfer Tax (City of Toronto Act,2006)",R,,1,
slc.10.1885.01,10,1885,1,Own Purpose Revenue,"Personal Vehicle Tax,PVT (City of Toronto Act,2006)(SLC 80 0734 02)",R,,1,
slc.10.1890.01,10,1890,1,Own Purpose Revenue,Please specify,R,,1,
slc.10.1891.01,10,1891,1,Own Purpose Revenue,Please specify,R,,1,
slc.10.1892.01,10,1892,1,Own Purpose Revenue,Please specify,R,,1,
slc.10.1893.01,10,1893,1,Own Purpose Revenue,Please specify,R,,1,
slc.10.1894.01,10,1894,1,Own Purpose Revenue,Please specify,R,,1,
slc.10.1895.01,10,1895,1,Own Purpose Revenue,Please specify,R,,1,
slc.10.1896.01,10,1896,1,Own Purpose Revenue,Please specify,R,,1,
slc.10.1897.01,10,1897,1,Own Purpose Revenue,Please specify,R,,1,
slc.10.1898.01,10,1898,1,Own Purpose Revenue,Please specify,R,,1,
slc.10.1899.01,10,1899,1,Own Purpose Revenue,Subtotal,,,,
slc.10.1905.01,10,1905,1,Own Purpose Revenue,Increase/Decrease in Government Business Enterprise equity,R,,1,
slc.10.2010.01,10,2010,1,Own Purpose Revenue,PLUS: Total revenues (SLC 10 9910 01),,,,
slc.10.2020.01,10,2020,1,Own Purpose Revenue,LESS: Total expenses (SLC 40 9910 11),,,,
slc.10.2030.01,10,2030,1,Own Purpose Revenue,PLUS: Please specify,,,,
slc.10.2040.01,10,2040,1,Own Purpose Revenue,PLUS: Please specify,,,,
slc.10.2045.01,10,2045,1,Own Purpose Revenue,PLUS: PSAB adjustments,,,,
slc.10.2060.01,10,2060,1,Own Purpose Revenue,Accumulated surplus/(deficit) at the beginning of year,,,,
slc.10.2061.01,10,2061,1,Own Purpose Revenue,Prior period adjustments,,,,
slc.10.2062.01,10,2062,1,Own Purpose Revenue,Restated accumulated surplus/(deficit) at the beginning of year,,,,
slc.10.2099.01,10,2099,1,Own Purpose Revenue,Annual surplus/(deficit),,,,
slc.10.2805.01,10,2805,1,Own Purpose Revenue,Surplus/(deficit) balance (SLC 10 2099 01),,,,
slc.10.2806.01,10,2806,1,Own Purpose Revenue,LESS: Principal debt repayment,,,,
slc.10.2810.01,10,2810,1,Own Purpose Revenue,Subtotal,,,,
slc.10.2812.01,10,2812,1,Own Purpose Revenue,PLUS: Post employment benefits,,,,
slc.10.2813.01,10,2813,1,Own Purpose Revenue,PLUS: Landfill sites,,,,
slc.10.2815.01,10,2815,1,Own Purpose Revenue,Subtotal,,,,
