Variable Name,Schedule,Line,Column,Column Description,Variable / Line Description,Rev_Exp_Staff_Other,Category,Include
MUNID,,,,,Municipal ID,,,
MARSYEAR,,,,,FIR Reporting Year,,,
FSB_OFFICECODE,,,,,Region Code,,,
SGC_CODE,,,,,Standard Geographic Code,,,
LT1NO,,,,,Geographic Upper Tier,,,
LT1TYPE,,,,,Municipal Type,,,
LTREVNO,,,,,Revenue Code,,,
SGC_CD,,,,,Census Division,,,
LT1NAME,,,,,Municipality Name,,,
LT1ACTUAL,,,,,FIR Load Status,,,
FIR_CLEAN_FLAG,,,,,FIR Clean Status,,,
MUNTIER,,,,,Tier,,,
LT1MARS_LASTUPD,,,,,Date of Last Update,,,
region,,,,,Region,,,
year,,,,,FIR Reporting Year,,,
municipality,,,,,Municipality Name,,,
tier,,,,,"Tier (Lower Tier, Upper Tier, Single Tier)",,,
slc.02.30.01,02,30,01,Municipal Data,Website address of Municipality,,,
slc.02.30.02,02,30,02,Data Source,Website address of Municipality,,,
slc.02.40.01,02,40,01,Municipal Data,Households,O,Demographic,1
slc.02.40.02,02,40,02,Data Source,Households,,,
slc.02.41.01,02,41,01,Municipal Data,Population,O,Demographic,1
slc.02.41.02,02,41,02,Data Source,Population,,,
slc.02.42.01,02,42,01,Municipal Data,Youth Population,O,Demographic,1
slc.02.42.02,02,42,02,Data Source,Youth Population,,,
slc.02.70.01,02,70,01,Municipal Data,Outstanding In-Year Critical Errors,,,
slc.02.70.02,02,70,02,Data Source,Outstanding In-Year Critical Errors,,,
slc.02.75.01,02,75,01,Municipal Data,Schedule 54:Cashflow - Direct or Indirect Method chosen,,,
slc.02.75.02,02,75,02,Data Source,Schedule 54:Cashflow - Direct or Indirect Method chosen,,,
slc.02.77.01,02,77,01,Municipal Data,Method used to allocate Program Support to other functions in Schedule 40,,,
slc.02.77.02,02,77,02,Data Source,Method used to allocate Program Support to other functions in Schedule 40,,,
slc.02.78.01,02,78,01,Municipal Data,"If ""Other Method"" is selected in line 0077, please describe method of allocating Program Support",,,
slc.02.78.02,02,78,02,Data Source,"If ""Other Method"" is selected in line 0077, please describe method of allocating Program Support",,,
slc.02.94.01,02,94,01,Municipal Data,Date,,,
slc.02.94.02,02,94,02,Data Source,Date,,,
slc.10.299.01,10,299,01,Own Purpose Revenue,Taxation - Own purposes (SLC 26 9199 04 - 72 2899 07) For UT (SLC 28 0299 12 - 28 0299 08),R,Property Taxation,1
slc.10.499.01,10,499,01,Own Purpose Revenue,Payments-in-lieu of taxation (SLC 26 9599 08) For UT (SLC 28 0299 08),R,Property Taxation,1
slc.10.510.01,10,510,01,Own Purpose Revenue,Estimated tax revenue,,,
slc.10.620.01,10,620,01,Own Purpose Revenue,Ontario Municipal Partnership Fund (OMPF),R,OMPF,1
slc.10.695.01,10,695,01,Own Purpose Revenue,Please specify,R,OMPF,1
slc.10.696.01,10,696,01,Own Purpose Revenue,Please specify,R,OMPF,1
slc.10.697.01,10,697,01,Own Purpose Revenue,Please specify,R,OMPF,1
slc.10.698.01,10,698,01,Own Purpose Revenue,Please specify,R,OMPF,1
slc.10.699.01,10,699,01,Own Purpose Revenue,Subtotal,,,
slc.10.810.01,10,810,01,Own Purpose Revenue,Ontario conditional grants (SLC 12 9910 01),R,Conditional Grants,1
slc.10.815.01,10,815,01,Own Purpose Revenue,Ontario grants for tangible capital assets (SLC 12 9910 05),R,Conditional Grants,1
slc.10.820.01,10,820,01,Own Purpose Revenue,Canada conditional grants (SLC 12 9910 02),R,Conditional Grants,1
slc.10.825.01,10,825,01,Own Purpose Revenue,Canada grants for tangible capital assets (SLC 12 9910 06),R,Conditional Grants,1
slc.10.830.01,10,830,01,Own Purpose Revenue,Deferred revenue earned (Provincial Gas Tax)(SLC 60 1042 01 + SLC 60 1045 01),R,Conditional Grants,1
slc.10.831.01,10,831,01,Own Purpose Revenue,Deferred revenue earned (Canada Gas Tax)(SLC 60 1047 01),R,Conditional Grants,1
slc.10.899.01,10,899,01,Own Purpose Revenue,Subtotal,,,
slc.10.1098.01,10,1098,01,Own Purpose Revenue,Revenue from other municipalities for tangible capital assets (SLC 12 9910 07),R,Other Governments,1
slc.10.1099.01,10,1099,01,Own Purpose Revenue,Revenue from other municipalities (SLC 12 9910 03),R,Other Governments,1
slc.10.1299.01,10,1299,01,Own Purpose Revenue,Total user fees and service charges (SLC 12 9910 04),R,User Fees,1
slc.10.1410.01,10,1410,01,Own Purpose Revenue,Trailer revenue and permits,R,"Licenses, Permits, Rents",1
slc.10.1420.01,10,1420,01,Own Purpose Revenue,Licences and permits,R,"Licenses, Permits, Rents",1
slc.10.1430.01,10,1430,01,Own Purpose Revenue,"Rents, concessions and franchises",R,"Licenses, Permits, Rents",1
slc.10.1431.01,10,1431,01,Own Purpose Revenue,Royalties,R,"Licenses, Permits, Rents",1
slc.10.1432.01,10,1432,01,Own Purpose Revenue,Green Energy,R,"Licenses, Permits, Rents",1
slc.10.1498.01,10,1498,01,Own Purpose Revenue,Please specify,R,"Licenses, Permits, Rents",1
slc.10.1499.01,10,1499,01,Own Purpose Revenue,Subtotal,,,
slc.10.1605.01,10,1605,01,Own Purpose Revenue,Provincial Offences Act (POA) Municipality which administers POA only,R,Fines and Penalties,1
slc.10.1610.01,10,1610,01,Own Purpose Revenue,Other Fines,R,Fines and Penalties,1
slc.10.1620.01,10,1620,01,Own Purpose Revenue,Penalties and interest on taxes,R,Fines and Penalties,1
slc.10.1698.01,10,1698,01,Own Purpose Revenue,Please specify,R,Fines and Penalties,1
slc.10.1699.01,10,1699,01,Own Purpose Revenue,Subtotal,,,
slc.10.1805.01,10,1805,01,Own Purpose Revenue,Investment income,R,Other Revenue,1
slc.10.1806.01,10,1806,01,Own Purpose Revenue,Interest earned on reserves and reserve funds,R,Other Revenue,1
slc.10.1811.01,10,1811,01,Own Purpose Revenue,Gain/loss on sale of land and capital assets,R,Other Revenue,1
slc.10.1812.01,10,1812,01,Own Purpose Revenue,Deferred revenue earned (Development Charges)(SLC 60 1025 01 + SLC 60 1026 01),R,Other Revenue,1
slc.10.1813.01,10,1813,01,Own Purpose Revenue,Deferred revenue earned (Recreational land (The Planning Act))(SLC 60 1032 01 + SLC 60 1035 01),R,Other Revenue,1
slc.10.1814.01,10,1814,01,Own Purpose Revenue,Other deferred revenue earned,R,Other Revenue,1
slc.10.1830.01,10,1830,01,Own Purpose Revenue,Donations,R,Other Revenue,1
slc.10.1831.01,10,1831,01,Own Purpose Revenue,Donated tangible capital assets (SLC 53 0610 01),R,Other Revenue,1
slc.10.1840.01,10,1840,01,Own Purpose Revenue,"Sale of publications, equipment, etc.",R,Other Revenue,1
slc.10.1850.01,10,1850,01,Own Purpose Revenue,Contributions from non-consolidated entities,R,Other Revenue,1
slc.10.1865.01,10,1865,01,Own Purpose Revenue,"Other Revenues from Government Business Enterprise (ie. Dividends, etc.)",R,Other Revenue,1
slc.10.1870.01,10,1870,01,Own Purpose Revenue,Gaming and Casino Revenues,R,Other Revenue,1
slc.10.1880.01,10,1880,01,Own Purpose Revenue,"Municipal Land Transfer Tax (City of Toronto Act,2006)",R,Land Transfer Tax,1
slc.10.1885.01,10,1885,01,Own Purpose Revenue,"Personal Vehicle Tax,PVT (City of Toronto Act,2006)(SLC 80 0734 02)",R,Personal Vehicle Tax,1
slc.10.1890.01,10,1890,01,Own Purpose Revenue,Please specify,R,Other Revenue,1
slc.10.1891.01,10,1891,01,Own Purpose Revenue,Please specify,R,Other Revenue,1
slc.10.1892.01,10,1892,01,Own Purpose Revenue,Please specify,R,Other Revenue,1
slc.10.1893.01,10,1893,01,Own Purpose Revenue,Please specify,R,Other Revenue,1
slc.10.1894.01,10,1894,01,Own Purpose Revenue,Please specify,R,Other Revenue,1
slc.10.1895.01,10,1895,01,Own Purpose Revenue,Please specify,R,Other Revenue,1
slc.10.1896.01,10,1896,01,Own Purpose Revenue,Please specify,R,Other Revenue,1
slc.10.1897.01,10,1897,01,Own Purpose Revenue,Please specify,R,Other Revenue,1
slc.10.1898.01,10,1898,01,Own Purpose Revenue,Please specify,R,Other Revenue,1
slc.10.1899.01,10,1899,01,Own Purpose Revenue,Subtotal,,,
slc.10.1905.01,10,1905,01,Own Purpose Revenue,Increase/Decrease in Government Business Enterprise equity,R,Other,1
slc.10.2010.01,10,2010,01,Own Purpose Revenue,PLUS: Total revenues (SLC 10 9910 01),,,
slc.10.2020.01,10,2020,01,Own Purpose Revenue,LESS: Total expenses (SLC 40 9910 11),,,
slc.10.2030.01,10,2030,01,Own Purpose Revenue,PLUS: Please specify,R,Other,1
slc.10.2040.01,10,2040,01,Own Purpose Revenue,PLUS: Please specify,R,Other,1
slc.10.2045.01,10,2045,01,Own Purpose Revenue,PLUS: PSAB adjustments,,,
slc.10.2060.01,10,2060,01,Own Purpose Revenue,Accumulated surplus/(deficit) at the beginning of year,,,
slc.10.2061.01,10,2061,01,Own Purpose Revenue,Prior period adjustments,,,
slc.10.2062.01,10,2062,01,Own Purpose Revenue,Restated accumulated surplus/(deficit) at the beginning of year,,,
slc.10.2099.01,10,2099,01,Own Purpose Revenue,Annual surplus/(deficit),,,
slc.10.2805.01,10,2805,01,Own Purpose Revenue,Surplus/(deficit) balance (SLC 10 2099 01),,,
slc.10.2806.01,10,2806,01,Own Purpose Revenue,LESS: Principal debt repayment,,,
slc.10.2810.01,10,2810,01,Own Purpose Revenue,Subtotal,,,
slc.10.2812.01,10,2812,01,Own Purpose Revenue,PLUS: Post employment benefits,,,
slc.10.2813.01,10,2813,01,Own Purpose Revenue,PLUS: Landfill sites,,,
slc.10.2815.01,10,2815,01,Own Purpose Revenue,Subtotal,,,
slc.10.2816.01,10,2816,01,Own Purpose Revenue,PLUS: Transfers from reserves,,,
slc.10.2820.01,10,2820,01,Own Purpose Revenue,Surplus/(deficit),,,
slc.10.4018.01,10,4018,01,Own Purpose Revenue,Provincial Gas Tax for Transit operating expenses,R,Provincial Gas Tax Funding,0
slc.10.4019.01,10,4019,01,Own Purpose Revenue,Provincial Gas Tax for Transit capital expenses,R,Provincial Gas Tax Funding,0
slc.10.4020.01,10,4020,01,Own Purpose Revenue,Provincial gas tax,,,
slc.10.4025.01,10,4025,01,Own Purpose Revenue,General government,R,Canada Gas Tax Funding,1
slc.10.4030.01,10,4030,01,Own Purpose Revenue,Transportation services: Roads - Paved,R,Canada Gas Tax Funding,1
slc.10.4031.01,10,4031,01,Own Purpose Revenue,Transportation services: Roads - Unpaved,R,Canada Gas Tax Funding,1
slc.10.4032.01,10,4032,01,Own Purpose Revenue,Transportation services: Roads - Bridges and culverts,R,Canada Gas Tax Funding,1
slc.10.4033.01,10,4033,01,Own Purpose Revenue,Transportation services: Roadways - Traffic operations and roadside,R,Canada Gas Tax Funding,1
slc.10.4040.01,10,4040,01,Own Purpose Revenue,Transportation services: Transit - Conventional,R,Canada Gas Tax Funding,1
slc.10.4041.01,10,4041,01,Own Purpose Revenue,Transportation services: Transit - Disabled and special needs,R,Canada Gas Tax Funding,1
slc.10.4045.01,10,4045,01,Own Purpose Revenue,Air transportation,R,Canada Gas Tax Funding,1
slc.10.4046.01,10,4046,01,Own Purpose Revenue,Please specify,R,Canada Gas Tax Funding,1
slc.10.4060.01,10,4060,01,Own Purpose Revenue,Environmental services: Wastewater collection/conveyance,R,Canada Gas Tax Funding,1
slc.10.4061.01,10,4061,01,Own Purpose Revenue,Environmental services: Wastewater treatment and disposal,R,Canada Gas Tax Funding,1
slc.10.4062.01,10,4062,01,Own Purpose Revenue,Environmental services: Urban storm sewer system,R,Canada Gas Tax Funding,1
slc.10.4063.01,10,4063,01,Own Purpose Revenue,Environmental services: Rural storm sewer system,R,Canada Gas Tax Funding,1
slc.10.4064.01,10,4064,01,Own Purpose Revenue,Environmental services: Water treatment,R,Canada Gas Tax Funding,1
slc.10.4065.01,10,4065,01,Own Purpose Revenue,Environmental services: Water distribution/transmission,R,Canada Gas Tax Funding,1
slc.10.4066.01,10,4066,01,Own Purpose Revenue,Environmental services: Solid waste collection,R,Canada Gas Tax Funding,1
slc.10.4067.01,10,4067,01,Own Purpose Revenue,Environmental services: Solid waste disposal,R,Canada Gas Tax Funding,1
slc.10.4068.01,10,4068,01,Own Purpose Revenue,Environmental services: Waste diversion,R,Canada Gas Tax Funding,1
slc.10.4069.01,10,4069,01,Own Purpose Revenue,Environmental services: Other,R,Canada Gas Tax Funding,1
slc.10.4075.01,10,4075,01,Own Purpose Revenue,Recreation facilities - All other,R,Canada Gas Tax Funding,1
