,Variable Name,Schedule,Line,Column,Column Description,Variable / Line Description,
,MUNID,,,,,Municipal ID,
,MARSYEAR,,,,,FIR Reporting Year,
,FSB_OFFICECODE,,,,,Region Code,
,SGC_CODE,,,,,Standard Geographic Code,
,LT1NO,,,,,Geographic Upper Tier,
,LT1TYPE,,,,,Municipal Type,
,LTREVNO,,,,,Revenue Code,
,SGC_CD,,,,,Census Division,
,LT1NAME,,,,,Municipality Name,
,LT1ACTUAL,,,,,FIR Load Status,
,FIR_CLEAN_FLAG,,,,,FIR Clean Status,
,MUNTIER,,,,,Tier,
,LT1MARS_LASTUPD,,,,,Date of Last Update,
,COMMONHSEHOLD,,,,,Total Household (Source: year-end summary of Assessment),
,CENPOP_TYTTL,,,,,Enumerated Population (municipal enumeration taken in election years) ,
,region,,,,,Region,
,year,,,,,FIR Reporting Year,
,municipality,,,,,Municipality Name,
,tier,,,,,"Tier (Lower Tier, Upper Tier, Single Tier)",
,slc.02.10.01,02,10,01,Municipal Data,Financial Information Return prepared by (Auditor's firm or Municipality name):,
,slc.02.10.02,02,10,02,Data Source,Financial Information Return prepared by (Auditor's firm or Municipality name):,
,slc.02.30.01,02,30,01,Municipal Data,Website address of Municipality,
,slc.02.30.02,02,30,02,Data Source,Website address of Municipality,
,slc.02.40.01,02,40,01,Municipal Data,Households,
,slc.02.40.02,02,40,02,Data Source,Households,
,slc.02.41.01,02,41,01,Municipal Data,Population,
,slc.02.41.02,02,41,02,Data Source,Population,
,slc.02.42.01,02,42,01,Municipal Data,Youth Population,
,slc.02.42.02,02,42,02,Data Source,Youth Population,
,slc.02.50.01,02,50,01,Municipal Data,Total Revenue Fund Receipts (SLC 10 9930 01),
,slc.02.50.02,02,50,02,Data Source,Total Revenue Fund Receipts (SLC 10 9930 01),
,slc.02.52.01,02,52,01,Municipal Data,Total Expenditures (SLC 40 9910 11),
,slc.02.52.02,02,52,02,Data Source,Total Expenditures (SLC 40 9910 11),
,slc.02.53.01,02,53,01,Municipal Data,Total Exp. LESS Unfunded Liabilities (SLC 40 9910 15),
,slc.02.53.02,02,53,02,Data Source,Total Exp. LESS Unfunded Liabilities (SLC 40 9910 15),
,slc.02.54.01,02,54,01,Municipal Data,Total Assets (SLC 70 9930 01),
,slc.02.54.02,02,54,02,Data Source,Total Assets (SLC 70 9930 01),
,slc.02.70.01,02,70,01,Municipal Data,Outstanding In-Year Critical Errors,
,slc.02.70.02,02,70,02,Data Source,Outstanding In-Year Critical Errors,
,slc.02.72.01,02,72,01,Municipal Data,Warning Error (Unforced),
,slc.02.72.02,02,72,02,Data Source,Warning Error (Unforced),
,slc.02.74.01,02,74,01,Municipal Data,Warning Error (Forced),
,slc.02.74.02,02,74,02,Data Source,Warning Error (Forced),
,slc.02.76.01,02,76,01,Municipal Data,Reasonable Error,
,slc.02.76.02,02,76,02,Data Source,Reasonable Error,
,slc.02.78.01,02,78,01,Municipal Data,FIR Status,
,slc.02.78.02,02,78,02,Data Source,FIR Status,
,slc.02.93.01,02,93,01,Municipal Data,Municipal Treasurer Email (Required),
,slc.02.93.02,02,93,02,Data Source,Municipal Treasurer Email (Required),
,slc.02.94.01,02,94,01,Municipal Data,Date,
,slc.02.94.02,02,94,02,Data Source,Date,
,slc.10.299.01,10,299,01,Own Purpose Revenue,Taxation - Own purposes (SLC 26 9199 04 - 72 2899 07) For UT (SLC 28 0299 12 - 28 0299 08),
,slc.10.499.01,10,499,01,Own Purpose Revenue,Payments-in-lieu of taxation (SLC 26 9599 08) For UT (SLC 28 0299 08),
,slc.10.610.01,10,610,01,Own Purpose Revenue,Community Reinvestment Fund,
,slc.10.620.01,10,620,01,Own Purpose Revenue,Ontario Municipal Partnership Fund (OMPF),
,slc.10.630.01,10,630,01,Own Purpose Revenue,Transition funding under OMPF,
,slc.10.695.01,10,695,01,Own Purpose Revenue,Please specify,
,slc.10.696.01,10,696,01,Own Purpose Revenue,Please specify,
,slc.10.697.01,10,697,01,Own Purpose Revenue,Please specify,
,slc.10.698.01,10,698,01,Own Purpose Revenue,Please specify,
,slc.10.699.01,10,699,01,Own Purpose Revenue,Subtotal,
,slc.10.810.01,10,810,01,Own Purpose Revenue,Ontario conditional grants (SLC 12 9910 01),
,slc.10.820.01,10,820,01,Own Purpose Revenue,Canada conditional grants (SLC 12 9910 02),
,slc.10.899.01,10,899,01,Own Purpose Revenue,Subtotal,
,slc.10.1099.01,10,1099,01,Own Purpose Revenue,Revenue from other municipalities (SLC 12 9910 03),
,slc.10.1299.01,10,1299,01,Own Purpose Revenue,User fees and service charges (SLC 12 9910 04),
,slc.10.1410.01,10,1410,01,Own Purpose Revenue,Trailer revenue and permits,
,slc.10.1420.01,10,1420,01,Own Purpose Revenue,Licences and permits,
,slc.10.1430.01,10,1430,01,Own Purpose Revenue,"Rents, concessions and franchises",
,slc.10.1499.01,10,1499,01,Own Purpose Revenue,Subtotal,
,slc.10.1605.01,10,1605,01,Own Purpose Revenue,Provincial Offences Act (POA) Municipality which administers POA only,
,slc.10.1610.01,10,1610,01,Own Purpose Revenue,Other Fines,
,slc.10.1620.01,10,1620,01,Own Purpose Revenue,Penalties and interest on taxes,
,slc.10.1699.01,10,1699,01,Own Purpose Revenue,Subtotal,
,slc.10.1810.01,10,1810,01,Own Purpose Revenue,Investment income - From own funds,
,slc.10.1820.01,10,1820,01,Own Purpose Revenue,Investment income - From other,
,slc.10.1830.01,10,1830,01,Own Purpose Revenue,Donations,
,slc.10.1840.01,10,1840,01,Own Purpose Revenue,"Sale of publications, equipment, etc.",
,slc.10.1850.01,10,1850,01,Own Purpose Revenue,Contributions from non-consolidated entities,
,slc.10.1860.01,10,1860,01,Own Purpose Revenue,Government Business Enterprise,
,slc.10.1865.01,10,1865,01,Own Purpose Revenue,"Other Revenues from Government Business Enterprise (ie. Dividends, etc.)",
,slc.10.1870.01,10,1870,01,Own Purpose Revenue,Gaming and Casino Revenues,
,slc.10.1880.01,10,1880,01,Own Purpose Revenue,"Municipal Land Transfer Tax (City of Toronto Act,2006)(SLC 80 0703 02)",
,slc.10.1885.01,10,1885,01,Own Purpose Revenue,"Personal Vehicle Tax,PVT (City of Toronto Act,2006)(SLC 80 0734 02)",
,slc.10.1896.01,10,1896,01,Own Purpose Revenue,Please specify,
,slc.10.1897.01,10,1897,01,Own Purpose Revenue,Please specify,
,slc.10.1898.01,10,1898,01,Own Purpose Revenue,Please specify,
,slc.10.1899.01,10,1899,01,Own Purpose Revenue,Subtotal,
,slc.10.3010.01,10,3010,01,Own Purpose Revenue,Contributions from capital fund (SLC 50 3410 01),
,slc.10.3020.01,10,3020,01,Own Purpose Revenue,"Contributions from reserves, reserve funds and deferred revenue (SLC 60 1020 01 + 02 + 03)",
,slc.10.4010.01,10,4010,01,Own Purpose Revenue,Provincial Gas Tax,
,slc.10.4015.01,10,4015,01,Own Purpose Revenue,Provincial Gas Tax,
,slc.10.5010.01,10,5010,01,Own Purpose Revenue,"Accumulated net revenue (deficit), beginning of year",
,slc.10.5020.01,10,5020,01,Own Purpose Revenue,PLUS: Total revenue fund receipts  (SLC 10 9930 01),
,slc.10.5040.01,10,5040,01,Own Purpose Revenue,LESS: Total revenue fund expenditures  (SLC 40 9910 11),
,slc.10.5042.01,10,5042,01,Own Purpose Revenue,LESS: Total revenue fund expenditures LESS Unfunded Liabilities (SLC 40 9910 15),
,slc.10.5050.01,10,5050,01,Own Purpose Revenue,PLUS: Adjustments for PSAB,
,slc.10.5060.01,10,5060,01,Own Purpose Revenue,PLUS: Please specify,
,slc.10.5090.01,10,5090,01,Own Purpose Revenue,"Accumulated net revenue (deficit), end of year",
,slc.10.6010.01,10,6010,01,Own Purpose Revenue,"Government Business Enterprise Equity, beginning of year",
,slc.10.6020.01,10,6020,01,Own Purpose Revenue,PLUS: Net Income for Government Business Enterprise for year,
,slc.10.6060.01,10,6060,01,Own Purpose Revenue,PLUS: Please specify,
,slc.10.6090.01,10,6090,01,Own Purpose Revenue,"Government Business Enterprise Equity, end of year",
,slc.10.9910.01,10,9910,01,Own Purpose Revenue,TOTAL Revenue fund revenues,
,slc.10.9920.01,10,9920,01,Own Purpose Revenue,TOTAL Transfers,
,slc.10.9930.01,10,9930,01,Own Purpose Revenue,TOTAL Revenue fund receipts,
,slc.12.299.01,12,299,01,Ontario Conditional Grants,General government,
,slc.12.299.02,12,299,02,Canada Conditional Grants,General government,
,slc.12.299.03,12,299,03,Other Municipalities,General government,
,slc.12.299.04,12,299,04,User Fees and Service Charges,General government,
,slc.12.299.05,12,299,05,- n.a. -,General government,
,slc.12.299.06,12,299,06,- n.a. -,General government,
,slc.12.299.07,12,299,07,- n.a. -,General government,
,slc.12.410.01,12,410,01,Ontario Conditional Grants,Fire,
,slc.12.410.02,12,410,02,Canada Conditional Grants,Fire,
,slc.12.410.03,12,410,03,Other Municipalities,Fire,
,slc.12.410.04,12,410,04,User Fees and Service Charges,Fire,
,slc.12.410.05,12,410,05,- n.a. -,Fire,
,slc.12.410.06,12,410,06,- n.a. -,Fire,
,slc.12.410.07,12,410,07,- n.a. -,Fire,
,slc.12.420.01,12,420,01,Ontario Conditional Grants,Police,
,slc.12.420.02,12,420,02,Canada Conditional Grants,Police,
,slc.12.420.03,12,420,03,Other Municipalities,Police,
,slc.12.420.04,12,420,04,User Fees and Service Charges,Police,
,slc.12.420.05,12,420,05,- n.a. -,Police,
,slc.12.420.06,12,420,06,- n.a. -,Police,
,slc.12.420.07,12,420,07,- n.a. -,Police,
,slc.12.430.01,12,430,01,Ontario Conditional Grants,Conservation authority,
,slc.12.430.02,12,430,02,Canada Conditional Grants,Conservation authority,
,slc.12.430.03,12,430,03,Other Municipalities,Conservation authority,
,slc.12.430.04,12,430,04,User Fees and Service Charges,Conservation authority,
,slc.12.430.05,12,430,05,- n.a. -,Conservation authority,
,slc.12.430.06,12,430,06,- n.a. -,Conservation authority,
,slc.12.430.07,12,430,07,- n.a. -,Conservation authority,
,slc.12.440.01,12,440,01,Ontario Conditional Grants,Protective inspection and control,
,slc.12.440.02,12,440,02,Canada Conditional Grants,Protective inspection and control,
,slc.12.440.03,12,440,03,Other Municipalities,Protective inspection and control,
,slc.12.440.04,12,440,04,User Fees and Service Charges,Protective inspection and control,
,slc.12.440.05,12,440,05,- n.a. -,Protective inspection and control,
,slc.12.440.06,12,440,06,- n.a. -,Protective inspection and control,
,slc.12.440.07,12,440,07,- n.a. -,Protective inspection and control,
,slc.12.450.01,12,450,01,Ontario Conditional Grants,Emergency measures,
,slc.12.450.02,12,450,02,Canada Conditional Grants,Emergency measures,
,slc.12.450.03,12,450,03,Other Municipalities,Emergency measures,
,slc.12.450.04,12,450,04,User Fees and Service Charges,Emergency measures,
,slc.12.450.05,12,450,05,- n.a. -,Emergency measures,
,slc.12.450.06,12,450,06,- n.a. -,Emergency measures,
,slc.12.450.07,12,450,07,- n.a. -,Emergency measures,
,slc.12.460.01,12,460,01,Ontario Conditional Grants,Provincial Offences Act (POA),
,slc.12.460.02,12,460,02,Canada Conditional Grants,Provincial Offences Act (POA),
,slc.12.460.03,12,460,03,Other Municipalities,Provincial Offences Act (POA),
,slc.12.460.04,12,460,04,User Fees and Service Charges,Provincial Offences Act (POA),
,slc.12.460.05,12,460,05,- n.a. -,Provincial Offences Act (POA),
,slc.12.460.06,12,460,06,- n.a. -,Provincial Offences Act (POA),
,slc.12.460.07,12,460,07,- n.a. -,Provincial Offences Act (POA),
,slc.12.498.01,12,498,01,Ontario Conditional Grants,Please specify,
,slc.12.498.02,12,498,02,Canada Conditional Grants,Please specify,
,slc.12.498.03,12,498,03,Other Municipalities,Please specify,
,slc.12.498.04,12,498,04,User Fees and Service Charges,Please specify,
,slc.12.498.05,12,498,05,- n.a. -,Please specify,
,slc.12.498.06,12,498,06,- n.a. -,Please specify,
,slc.12.498.07,12,498,07,- n.a. -,Please specify,
,slc.12.499.01,12,499,01,Ontario Conditional Grants,Subtotal,
,slc.12.499.02,12,499,02,Canada Conditional Grants,Subtotal,
,slc.12.499.03,12,499,03,Other Municipalities,Subtotal,
,slc.12.499.04,12,499,04,User Fees and Service Charges,Subtotal,
,slc.12.499.05,12,499,05,- n.a. -,Subtotal,
,slc.12.499.06,12,499,06,- n.a. -,Subtotal,
,slc.12.499.07,12,499,07,- n.a. -,Subtotal,
,slc.12.610.01,12,610,01,Ontario Conditional Grants,Roadways,
,slc.12.610.02,12,610,02,Canada Conditional Grants,Roadways,
,slc.12.610.03,12,610,03,Other Municipalities,Roadways,
